07:18:41.501 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.42ms nav=29.41ms aim=0.00ms block=
07:18:41.859 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.50ms nav=29.49ms aim=0.00ms block=
07:18:42.214 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.45ms nav=29.45ms aim=0.00ms block=
07:18:42.582 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.28ms nav=29.27ms aim=0.00ms block=
07:18:42.955 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.35ms nav=29.35ms aim=0.00ms block=
07:18:43.324 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.37ms nav=29.36ms aim=0.00ms block=
07:18:43.694 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.60ms nav=29.59ms aim=0.00ms block=
07:18:44.070 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.31ms nav=29.30ms aim=0.00ms block=
07:18:44.450 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.14ms nav=29.14ms aim=0.00ms block=
07:18:44.828 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.37ms nav=29.36ms aim=0.00ms block=
07:18:45.179 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.37ms nav=29.37ms aim=0.00ms block=
07:18:45.582 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.43ms nav=29.42ms aim=0.00ms block=
07:18:45.964 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.32ms nav=29.31ms aim=0.00ms block=
07:18:46.344 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.36ms nav=29.35ms aim=0.00ms block=
07:18:46.748 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=31.53ms nav=29.36ms aim=2.16ms block=
07:18:47.127 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.54ms nav=29.53ms aim=0.00ms block=
07:18:47.479 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.35ms nav=29.34ms aim=0.00ms block=
07:18:47.859 entity=blue_robot_1 role=hero team=blue branch=fallback_direct total=29.33ms nav=29.32ms aim=0.00ms block=
