06:33:49.603 total=1.67ms respawn=0.08ms interaction=0.19ms combat=1.40ms entities=15 projectiles=11
06:33:51.609 total=0.75ms respawn=0.06ms interaction=0.17ms combat=0.52ms entities=15 projectiles=0
06:33:53.611 total=1.24ms respawn=0.05ms interaction=0.16ms combat=1.04ms entities=15 projectiles=5
06:33:55.621 total=1.34ms respawn=0.06ms interaction=0.16ms combat=1.12ms entities=15 projectiles=6
06:33:57.646 total=0.55ms respawn=0.04ms interaction=0.15ms combat=0.35ms entities=15 projectiles=1
06:33:59.650 total=0.65ms respawn=0.04ms interaction=0.16ms combat=0.44ms entities=15 projectiles=1
06:34:01.671 total=0.53ms respawn=0.04ms interaction=0.15ms combat=0.33ms entities=15 projectiles=0
06:34:03.694 total=0.42ms respawn=0.05ms interaction=0.16ms combat=0.21ms entities=15 projectiles=0
06:34:05.709 total=0.56ms respawn=0.07ms interaction=0.25ms combat=0.24ms entities=15 projectiles=0
06:34:07.717 total=0.41ms respawn=0.06ms interaction=0.16ms combat=0.20ms entities=15 projectiles=0
06:34:09.720 total=0.54ms respawn=0.04ms interaction=0.15ms combat=0.34ms entities=15 projectiles=1
06:34:11.734 total=0.39ms respawn=0.04ms interaction=0.15ms combat=0.20ms entities=15 projectiles=0
06:34:13.748 total=0.39ms respawn=0.04ms interaction=0.15ms combat=0.20ms entities=15 projectiles=0
06:34:15.754 total=1.11ms respawn=0.04ms interaction=0.15ms combat=0.91ms entities=15 projectiles=3
06:34:17.770 total=0.41ms respawn=0.05ms interaction=0.15ms combat=0.21ms entities=15 projectiles=0
06:34:19.788 total=35.54ms respawn=0.02ms interaction=0.14ms combat=35.38ms entities=15 projectiles=1
06:34:21.840 total=0.35ms respawn=0.04ms interaction=0.16ms combat=0.15ms entities=15 projectiles=0
06:34:23.852 total=0.41ms respawn=0.05ms interaction=0.15ms combat=0.21ms entities=15 projectiles=0
06:34:25.855 total=0.86ms respawn=0.12ms interaction=0.20ms combat=0.54ms entities=15 projectiles=2
06:34:27.860 total=0.52ms respawn=0.04ms interaction=0.15ms combat=0.33ms entities=15 projectiles=1
06:34:29.871 total=0.39ms respawn=0.04ms interaction=0.15ms combat=0.20ms entities=15 projectiles=0
