07:00:28.087 total=29.22ms control=28.38ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:30.117 total=29.22ms control=28.39ms rotation=0.00ms vertical=0.00ms translation=0.81ms movable=10
07:00:32.151 total=29.35ms control=28.51ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:34.207 total=29.04ms control=28.21ms rotation=0.00ms vertical=0.00ms translation=0.82ms movable=10
07:00:36.224 total=29.14ms control=28.28ms rotation=0.00ms vertical=0.00ms translation=0.84ms movable=10
07:00:38.313 total=58.25ms control=57.40ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:40.358 total=29.11ms control=28.27ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:42.368 total=29.10ms control=28.25ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:44.408 total=29.41ms control=28.56ms rotation=0.00ms vertical=0.00ms translation=0.83ms movable=10
07:00:46.411 total=29.36ms control=28.41ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
07:00:48.430 total=29.43ms control=28.50ms rotation=0.00ms vertical=0.00ms translation=0.92ms movable=10
07:00:50.434 total=29.28ms control=28.24ms rotation=0.00ms vertical=0.00ms translation=1.02ms movable=10
