06:25:38.314 frame=11.94ms map=0.09ms/175458v/1draw facility=1.40ms/29112v/1draw unit=3.27ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.10ms overlay=6.60ms swap=0.31ms entities=15 projectiles=0
06:25:40.427 frame=11.03ms map=0.08ms/175458v/1draw facility=1.32ms/28416v/1draw unit=2.57ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.52ms swap=0.34ms entities=15 projectiles=0
06:25:42.505 frame=12.13ms map=0.10ms/175458v/1draw facility=1.62ms/28416v/1draw unit=2.68ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=7.02ms swap=0.37ms entities=15 projectiles=0
06:26:27.981 frame=335.42ms map=31.07ms/175458v/1draw facility=21.61ms/30012v/1draw unit=24.87ms/32616v/1draw projectile=0.53ms/0v/0draw flush=1.53ms overlay=44.16ms swap=0.17ms entities=15 projectiles=0
06:26:30.019 frame=11.57ms map=0.06ms/175458v/1draw facility=1.51ms/30012v/1draw unit=3.48ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.24ms swap=0.04ms entities=15 projectiles=0
06:26:32.094 frame=10.65ms map=0.06ms/175458v/1draw facility=1.51ms/30012v/1draw unit=2.64ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.17ms swap=0.04ms entities=15 projectiles=0
06:26:34.202 frame=10.82ms map=0.06ms/175458v/1draw facility=1.51ms/30012v/1draw unit=2.63ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.29ms swap=0.05ms entities=15 projectiles=0
06:26:36.307 frame=12.07ms map=0.06ms/175458v/1draw facility=1.52ms/30012v/1draw unit=3.49ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.13ms overlay=6.28ms swap=0.43ms entities=15 projectiles=0
06:26:38.347 frame=11.19ms map=0.06ms/175458v/1draw facility=1.54ms/29112v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.69ms swap=0.04ms entities=15 projectiles=0
06:26:40.453 frame=11.04ms map=0.07ms/175458v/1draw facility=1.44ms/27516v/1draw unit=2.63ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.43ms swap=0.05ms entities=15 projectiles=1
06:26:42.604 frame=10.90ms map=0.06ms/175458v/1draw facility=1.24ms/26820v/1draw unit=3.21ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.11ms swap=0.04ms entities=15 projectiles=2
06:26:44.755 frame=10.62ms map=0.04ms/175458v/1draw facility=1.50ms/30012v/1draw unit=2.61ms/32616v/1draw projectile=0.02ms/168v/1draw flush=0.08ms overlay=6.17ms swap=0.04ms entities=15 projectiles=1
06:26:46.765 frame=10.55ms map=0.04ms/175458v/1draw facility=1.44ms/29112v/1draw unit=2.62ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.17ms swap=0.04ms entities=15 projectiles=0
06:26:48.911 frame=11.05ms map=0.08ms/175458v/1draw facility=1.65ms/29112v/1draw unit=2.64ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.38ms swap=0.05ms entities=15 projectiles=0
06:26:51.020 frame=11.30ms map=0.07ms/175458v/1draw facility=1.46ms/29112v/1draw unit=2.72ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.72ms swap=0.05ms entities=15 projectiles=0
06:26:53.163 frame=10.49ms map=0.06ms/175458v/1draw facility=1.43ms/29112v/1draw unit=2.58ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.16ms swap=0.04ms entities=15 projectiles=0
06:26:55.249 frame=11.49ms map=0.07ms/175458v/1draw facility=1.62ms/29112v/1draw unit=2.69ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.80ms swap=0.05ms entities=15 projectiles=0
06:29:15.958 frame=324.69ms map=32.47ms/175458v/1draw facility=21.44ms/30012v/1draw unit=26.24ms/32616v/1draw projectile=0.60ms/0v/0draw flush=1.49ms overlay=44.43ms swap=0.17ms entities=15 projectiles=0
06:29:17.959 frame=4.47ms map=0.06ms/175458v/1draw facility=1.53ms/30012v/1draw unit=2.61ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=0.01ms swap=0.04ms entities=15 projectiles=0
06:29:20.079 frame=10.86ms map=0.04ms/175458v/1draw facility=1.54ms/30012v/1draw unit=2.65ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.37ms swap=0.04ms entities=15 projectiles=0
06:29:22.079 frame=10.88ms map=0.04ms/175458v/1draw facility=1.58ms/30012v/1draw unit=2.76ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.05ms overlay=6.26ms swap=0.04ms entities=15 projectiles=0
06:29:24.217 frame=10.64ms map=0.05ms/175458v/1draw facility=1.57ms/27720v/1draw unit=2.66ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.08ms overlay=6.09ms swap=0.04ms entities=15 projectiles=0
06:29:26.262 frame=10.60ms map=0.04ms/175458v/1draw facility=1.55ms/30012v/1draw unit=2.64ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.06ms overlay=6.10ms swap=0.04ms entities=15 projectiles=0
06:29:28.317 frame=11.25ms map=0.06ms/175458v/1draw facility=1.45ms/29112v/1draw unit=3.13ms/32616v/1draw projectile=0.01ms/168v/1draw flush=0.06ms overlay=6.33ms swap=0.04ms entities=15 projectiles=1
06:29:30.383 frame=10.26ms map=0.06ms/175458v/1draw facility=1.34ms/27516v/1draw unit=2.57ms/32616v/1draw projectile=0.02ms/168v/1draw flush=0.05ms overlay=6.03ms swap=0.04ms entities=15 projectiles=2
06:29:32.536 frame=10.56ms map=0.07ms/175458v/1draw facility=1.53ms/27516v/1draw unit=2.67ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=5.98ms swap=0.04ms entities=15 projectiles=1
06:29:34.561 frame=11.05ms map=0.07ms/175458v/1draw facility=1.68ms/29112v/1draw unit=2.63ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.37ms swap=0.04ms entities=15 projectiles=0
06:29:36.733 frame=15.74ms map=0.09ms/175458v/1draw facility=2.15ms/29112v/1draw unit=3.70ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.12ms overlay=9.34ms swap=0.07ms entities=15 projectiles=0
06:29:38.789 frame=10.86ms map=0.07ms/175458v/1draw facility=1.65ms/27516v/1draw unit=2.61ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.09ms overlay=6.19ms swap=0.05ms entities=15 projectiles=0
06:29:40.923 frame=10.91ms map=0.07ms/175458v/1draw facility=1.70ms/29112v/1draw unit=2.59ms/32616v/1draw projectile=0.00ms/0v/0draw flush=0.07ms overlay=6.26ms swap=0.04ms entities=15 projectiles=0
06:30:17.993 frame=324.95ms map=34.40ms/175458v/1draw facility=22.62ms/30012v/1draw unit=24.87ms/32616v/1draw projectile=0.53ms/0v/0draw flush=1.69ms overlay=45.17ms swap=0.17ms entities=15 projectiles=0
