06:55:49.804 total=29.68ms reload=0.00ms input=0.00ms motion=0.81ms filter=0.00ms rules=28.86ms select=0.00ms entities=15 projectiles=0
06:55:51.812 total=29.14ms reload=0.00ms input=0.00ms motion=0.82ms filter=0.00ms rules=28.31ms select=0.00ms entities=15 projectiles=0
06:55:53.825 total=2.89ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=1.91ms select=0.00ms entities=15 projectiles=12
06:55:55.844 total=2.09ms reload=0.00ms input=0.01ms motion=1.34ms filter=0.00ms rules=0.74ms select=0.00ms entities=15 projectiles=0
06:55:57.851 total=2.39ms reload=0.00ms input=0.01ms motion=1.37ms filter=0.00ms rules=1.01ms select=0.00ms entities=15 projectiles=5
06:55:59.861 total=2.03ms reload=0.00ms input=0.01ms motion=1.33ms filter=0.00ms rules=0.68ms select=0.00ms entities=15 projectiles=1
06:56:01.880 total=1.58ms reload=0.00ms input=0.01ms motion=0.91ms filter=0.00ms rules=0.65ms select=0.00ms entities=15 projectiles=0
06:57:08.839 total=34.47ms reload=0.14ms input=1.15ms motion=23.81ms filter=0.01ms rules=9.35ms select=0.01ms entities=15 projectiles=0
06:57:10.841 total=1.52ms reload=0.00ms input=0.01ms motion=0.81ms filter=0.00ms rules=0.69ms select=0.00ms entities=15 projectiles=0
06:57:12.842 total=97.07ms reload=0.00ms input=0.00ms motion=96.46ms filter=0.01ms rules=0.60ms select=0.01ms entities=15 projectiles=0
06:57:14.864 total=123.22ms reload=0.00ms input=0.00ms motion=122.64ms filter=0.00ms rules=0.58ms select=0.00ms entities=15 projectiles=0
06:57:16.946 total=122.67ms reload=0.00ms input=0.00ms motion=122.07ms filter=0.01ms rules=0.58ms select=0.00ms entities=15 projectiles=0
06:57:18.964 total=32.02ms reload=0.00ms input=0.01ms motion=31.25ms filter=0.00ms rules=0.76ms select=0.00ms entities=15 projectiles=1
06:57:20.965 total=1.84ms reload=0.00ms input=0.01ms motion=1.25ms filter=0.00ms rules=0.58ms select=0.00ms entities=15 projectiles=0
06:57:22.969 total=2.28ms reload=0.00ms input=0.01ms motion=1.70ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:57:24.989 total=2.14ms reload=0.00ms input=0.01ms motion=1.41ms filter=0.00ms rules=0.72ms select=0.00ms entities=15 projectiles=1
06:57:26.990 total=2.21ms reload=0.00ms input=0.01ms motion=1.46ms filter=0.00ms rules=0.72ms select=0.00ms entities=15 projectiles=1
06:57:28.994 total=2.29ms reload=0.00ms input=0.01ms motion=1.57ms filter=0.00ms rules=0.71ms select=0.00ms entities=15 projectiles=1
06:57:31.003 total=2.10ms reload=0.00ms input=0.01ms motion=1.33ms filter=0.00ms rules=0.74ms select=0.00ms entities=15 projectiles=1
06:57:33.003 total=2.27ms reload=0.00ms input=0.01ms motion=1.40ms filter=0.00ms rules=0.86ms select=0.00ms entities=15 projectiles=3
06:57:35.004 total=2.11ms reload=0.00ms input=0.02ms motion=1.53ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:57:37.063 total=62.14ms reload=0.00ms input=0.01ms motion=61.58ms filter=0.01ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:57:39.065 total=1.97ms reload=0.00ms input=0.01ms motion=1.40ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:57:41.075 total=2.10ms reload=0.00ms input=0.01ms motion=1.36ms filter=0.00ms rules=0.72ms select=0.00ms entities=15 projectiles=1
06:57:43.077 total=1.84ms reload=0.00ms input=0.01ms motion=1.28ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:57:45.089 total=1.94ms reload=0.00ms input=0.01ms motion=1.39ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=0
06:57:47.097 total=1.89ms reload=0.00ms input=0.01ms motion=1.32ms filter=0.00ms rules=0.55ms select=0.00ms entities=15 projectiles=0
06:57:49.115 total=1.98ms reload=0.00ms input=0.01ms motion=1.34ms filter=0.00ms rules=0.61ms select=0.00ms entities=15 projectiles=0
06:57:51.123 total=2.07ms reload=0.00ms input=0.01ms motion=1.31ms filter=0.00ms rules=0.75ms select=0.01ms entities=15 projectiles=1
06:57:53.127 total=2.68ms reload=0.00ms input=0.01ms motion=1.48ms filter=0.01ms rules=1.17ms select=0.01ms entities=15 projectiles=0
06:57:55.141 total=1.56ms reload=0.00ms input=0.01ms motion=0.87ms filter=0.00ms rules=0.67ms select=0.01ms entities=15 projectiles=0
06:57:57.182 total=62.18ms reload=0.00ms input=0.01ms motion=61.56ms filter=0.01ms rules=0.60ms select=0.01ms entities=15 projectiles=0
06:57:59.182 total=1.87ms reload=0.00ms input=0.01ms motion=1.29ms filter=0.00ms rules=0.56ms select=0.00ms entities=15 projectiles=0
06:58:01.189 total=3.12ms reload=0.00ms input=0.01ms motion=1.49ms filter=0.01ms rules=1.61ms select=0.01ms entities=15 projectiles=10
06:58:03.198 total=2.67ms reload=0.00ms input=0.01ms motion=1.46ms filter=0.01ms rules=1.19ms select=0.01ms entities=15 projectiles=6
06:58:05.200 total=2.16ms reload=0.00ms input=0.01ms motion=1.37ms filter=0.01ms rules=0.77ms select=0.01ms entities=15 projectiles=0
06:58:07.206 total=3.02ms reload=0.00ms input=0.01ms motion=1.64ms filter=0.00ms rules=1.36ms select=0.00ms entities=15 projectiles=8
06:58:09.224 total=2.65ms reload=0.00ms input=0.02ms motion=1.71ms filter=0.01ms rules=0.91ms select=0.01ms entities=15 projectiles=1
06:58:11.232 total=3.23ms reload=0.00ms input=0.01ms motion=2.13ms filter=0.01ms rules=1.07ms select=0.01ms entities=15 projectiles=0
06:58:13.251 total=2.95ms reload=0.00ms input=0.01ms motion=1.64ms filter=0.01ms rules=1.28ms select=0.01ms entities=15 projectiles=1
