22:29:03.659 total=0.08ms respawn=0.04ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:29:05.685 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:07.685 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:09.693 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:11.711 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:13.727 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:15.731 total=0.10ms respawn=0.07ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:17.745 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:19.761 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:21.768 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:23.783 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:25.785 total=0.06ms respawn=0.03ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:27.788 total=3.50ms respawn=0.05ms interaction=0.02ms combat=3.43ms entities=15 projectiles=7
22:29:29.816 total=0.20ms respawn=0.04ms interaction=0.06ms combat=0.11ms entities=15 projectiles=4
22:29:31.818 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:33.833 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:35.856 total=0.18ms respawn=0.04ms interaction=0.02ms combat=0.12ms entities=15 projectiles=6
22:29:37.879 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:29:39.896 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:41.906 total=0.08ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:43.916 total=0.14ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=2
22:29:45.934 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:47.948 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:29:49.953 total=1.64ms respawn=0.03ms interaction=0.02ms combat=1.58ms entities=15 projectiles=8
22:29:51.955 total=3.81ms respawn=0.05ms interaction=0.02ms combat=3.74ms entities=15 projectiles=10
22:29:53.988 total=0.42ms respawn=0.04ms interaction=0.03ms combat=0.35ms entities=15 projectiles=9
22:29:55.988 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:29:58.010 total=0.18ms respawn=0.15ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:00.032 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:30:02.063 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:04.067 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:06.072 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:08.073 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:10.090 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:12.131 total=0.12ms respawn=0.07ms interaction=0.04ms combat=0.01ms entities=15 projectiles=0
22:30:14.138 total=0.10ms respawn=0.06ms interaction=0.04ms combat=0.01ms entities=15 projectiles=0
22:30:16.144 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:18.166 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:20.183 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:22.205 total=0.15ms respawn=0.04ms interaction=0.11ms combat=0.00ms entities=15 projectiles=0
22:30:24.218 total=0.06ms respawn=0.03ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:26.229 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:28.242 total=0.06ms respawn=0.04ms interaction=0.02ms combat=0.00ms entities=15 projectiles=0
22:30:30.242 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:30:32.256 total=0.08ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:30:34.277 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:30:36.278 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:30:38.292 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:30:40.304 total=0.12ms respawn=0.07ms interaction=0.04ms combat=0.01ms entities=15 projectiles=0
22:30:42.312 total=0.08ms respawn=0.04ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:30:44.329 total=0.09ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:30:46.344 total=0.10ms respawn=0.06ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:30:48.372 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:30:50.394 total=0.08ms respawn=0.05ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:30:52.410 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.09ms entities=15 projectiles=2
22:30:54.417 total=0.29ms respawn=0.15ms interaction=0.02ms combat=0.12ms entities=15 projectiles=1
22:30:56.435 total=0.08ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:30:58.462 total=0.08ms respawn=0.04ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:31:00.467 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=1
22:31:02.477 total=0.16ms respawn=0.04ms interaction=0.02ms combat=0.10ms entities=15 projectiles=0
22:31:04.477 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:31:06.510 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
22:31:08.534 total=0.13ms respawn=0.04ms interaction=0.02ms combat=0.07ms entities=15 projectiles=1
22:31:10.541 total=0.15ms respawn=0.04ms interaction=0.02ms combat=0.08ms entities=15 projectiles=2
22:31:12.562 total=0.08ms respawn=0.05ms interaction=0.03ms combat=0.01ms entities=15 projectiles=0
22:31:14.576 total=0.12ms respawn=0.07ms interaction=0.04ms combat=0.01ms entities=15 projectiles=0
22:31:16.592 total=0.07ms respawn=0.04ms interaction=0.02ms combat=0.01ms entities=15 projectiles=0
