22:22:34.690 total=1.92ms reload=0.00ms input=0.01ms motion=1.29ms filter=0.00ms rules=0.61ms select=0.00ms entities=15 projectiles=1
22:22:36.720 total=1.68ms reload=0.00ms input=0.01ms motion=1.09ms filter=0.00ms rules=0.57ms select=0.00ms entities=15 projectiles=1
22:22:38.742 total=1.80ms reload=0.00ms input=0.01ms motion=1.04ms filter=0.00ms rules=0.74ms select=0.01ms entities=15 projectiles=2
22:22:40.757 total=1.51ms reload=0.00ms input=0.01ms motion=0.97ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=1
22:22:42.759 total=2.00ms reload=0.00ms input=0.01ms motion=1.18ms filter=0.00ms rules=0.79ms select=0.01ms entities=15 projectiles=1
22:22:44.780 total=2.01ms reload=0.00ms input=0.01ms motion=1.37ms filter=0.01ms rules=0.62ms select=0.01ms entities=15 projectiles=1
22:22:46.784 total=1.62ms reload=0.00ms input=0.01ms motion=1.09ms filter=0.00ms rules=0.51ms select=0.00ms entities=15 projectiles=1
22:22:48.798 total=2.04ms reload=0.00ms input=0.01ms motion=1.50ms filter=0.00ms rules=0.53ms select=0.00ms entities=15 projectiles=1
22:22:50.810 total=1.98ms reload=0.00ms input=0.01ms motion=1.36ms filter=0.01ms rules=0.59ms select=0.01ms entities=15 projectiles=1
22:22:52.812 total=1.63ms reload=0.00ms input=0.01ms motion=1.04ms filter=0.00ms rules=0.57ms select=0.00ms entities=15 projectiles=1
22:22:54.829 total=1.71ms reload=0.00ms input=0.01ms motion=1.16ms filter=0.00ms rules=0.54ms select=0.00ms entities=15 projectiles=2
22:22:56.830 total=2.51ms reload=0.00ms input=0.00ms motion=1.94ms filter=0.00ms rules=0.56ms select=0.01ms entities=15 projectiles=1
22:22:58.843 total=1.89ms reload=0.00ms input=0.01ms motion=1.30ms filter=0.00ms rules=0.57ms select=0.00ms entities=15 projectiles=1
22:23:34.458 total=2.63ms reload=0.03ms input=0.01ms motion=2.04ms filter=0.00ms rules=0.53ms select=0.01ms entities=15 projectiles=1
22:23:36.479 total=3.64ms reload=0.04ms input=0.01ms motion=3.02ms filter=0.00ms rules=0.56ms select=0.01ms entities=15 projectiles=1
