22:25:51.733 total=0.42ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.40ms movable=10
22:25:53.736 total=0.57ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.55ms movable=10
22:25:55.737 total=0.63ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.60ms movable=10
22:25:57.750 total=0.65ms control=0.14ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:25:59.759 total=0.77ms control=0.15ms rotation=0.00ms vertical=0.00ms translation=0.60ms movable=10
22:28:49.558 total=43.22ms control=8.55ms rotation=0.74ms vertical=0.41ms translation=28.97ms movable=10
22:28:51.559 total=0.92ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
22:28:53.560 total=0.00ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:28:55.566 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:28:57.572 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:28:59.590 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:29:01.604 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:29:03.607 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:29:05.621 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:29:07.636 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:29:09.644 total=0.01ms control=0.00ms rotation=0.00ms vertical=0.00ms translation=0.00ms movable=10
22:29:11.646 total=3.61ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=3.59ms movable=10
22:29:13.668 total=0.77ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.75ms movable=10
22:29:15.672 total=0.97ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
22:29:17.690 total=0.29ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.27ms movable=10
22:29:19.704 total=0.69ms control=0.01ms rotation=0.06ms vertical=0.00ms translation=0.61ms movable=10
22:29:21.739 total=1.05ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.03ms movable=10
22:29:23.751 total=0.70ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.68ms movable=10
22:29:25.760 total=0.60ms control=0.07ms rotation=0.00ms vertical=0.00ms translation=0.52ms movable=10
22:29:27.784 total=0.59ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
22:29:29.815 total=0.74ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.72ms movable=10
22:29:31.817 total=0.54ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.51ms movable=10
22:29:33.832 total=0.91ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
22:29:35.856 total=1.06ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.04ms movable=10
22:29:37.878 total=1.06ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.03ms movable=10
22:29:39.896 total=0.64ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.62ms movable=10
22:29:41.905 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.50ms movable=10
22:29:43.915 total=0.54ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.52ms movable=10
22:29:45.933 total=0.35ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.33ms movable=10
22:29:47.948 total=0.94ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.85ms movable=10
22:29:49.951 total=0.67ms control=0.09ms rotation=0.00ms vertical=0.00ms translation=0.57ms movable=10
22:29:51.951 total=0.57ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.48ms movable=10
22:29:53.954 total=0.67ms control=0.08ms rotation=0.00ms vertical=0.00ms translation=0.58ms movable=10
22:29:55.955 total=0.63ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.62ms movable=10
22:29:57.962 total=0.30ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.28ms movable=10
22:29:59.973 total=0.48ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.44ms movable=10
22:30:01.997 total=1.24ms control=0.02ms rotation=0.01ms vertical=0.00ms translation=1.19ms movable=10
22:30:04.015 total=0.75ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.72ms movable=10
22:30:06.021 total=0.58ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.56ms movable=10
22:30:08.041 total=0.52ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.49ms movable=10
22:30:10.064 total=1.21ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.19ms movable=10
22:30:12.080 total=1.46ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.43ms movable=10
22:30:14.106 total=0.97ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
22:30:16.119 total=0.90ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
22:30:18.135 total=0.91ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.89ms movable=10
22:30:20.155 total=1.04ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.02ms movable=10
22:30:22.178 total=0.99ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.96ms movable=10
22:30:24.192 total=0.89ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
22:30:26.202 total=0.97ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.95ms movable=10
22:30:28.216 total=1.10ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.08ms movable=10
22:30:30.242 total=0.99ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.97ms movable=10
22:30:32.255 total=0.90ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
22:30:34.277 total=0.91ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.88ms movable=10
22:30:36.277 total=0.93ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.92ms movable=10
22:30:38.292 total=0.82ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.79ms movable=10
22:30:40.303 total=1.12ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.03ms movable=10
22:30:42.311 total=0.90ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.87ms movable=10
22:30:44.329 total=0.59ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.57ms movable=10
22:30:46.344 total=0.60ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.57ms movable=10
22:30:48.371 total=0.59ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.57ms movable=10
22:30:50.393 total=0.79ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.77ms movable=10
22:30:52.410 total=0.72ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.70ms movable=10
22:30:54.416 total=0.58ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.56ms movable=10
22:30:56.434 total=0.61ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.58ms movable=10
22:30:58.462 total=0.65ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.62ms movable=10
22:31:00.466 total=0.57ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.55ms movable=10
22:31:02.476 total=0.59ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=0.55ms movable=10
22:31:04.477 total=0.97ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=0.94ms movable=10
22:31:06.509 total=1.28ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.26ms movable=10
22:31:08.533 total=1.19ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.16ms movable=10
22:31:10.540 total=1.35ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.33ms movable=10
22:31:12.562 total=1.10ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.08ms movable=10
22:31:14.575 total=1.84ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=1.81ms movable=10
22:31:16.591 total=1.14ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.11ms movable=10
22:31:18.595 total=1.22ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.19ms movable=10
22:31:20.627 total=1.40ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.38ms movable=10
22:31:22.641 total=1.17ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.14ms movable=10
22:31:24.643 total=1.14ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.11ms movable=10
22:31:26.652 total=1.10ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.08ms movable=10
22:31:28.658 total=1.45ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.43ms movable=10
22:31:30.671 total=1.11ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.08ms movable=10
22:31:32.690 total=1.12ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.10ms movable=10
22:31:34.693 total=1.39ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.36ms movable=10
22:31:36.711 total=1.21ms control=0.02ms rotation=0.00ms vertical=0.00ms translation=1.16ms movable=10
22:31:38.733 total=1.30ms control=0.01ms rotation=0.00ms vertical=0.00ms translation=1.28ms movable=10
